edge_type_id target_query source_query dynamics_params delay model_template syn_weight
100 ei_type=='e' * AMPA_ExcToExc.json 2.0 Exp2Syn 0.0019
101 ei_type=='i' * AMPA_ExcToInh.json 2.0 Exp2Syn 0.003
