edge_type_id target_query source_query syn_weight dynamics_params model_template delay
106 * ei_type=='e' 0.005 instantaneousExc.json Exp2Syn 2.0
107 * ei_type=='i' 0.02 instantaneousInh.json Exp2Syn 2.0
