edge_type_id target_query source_query distance_range target_sections syn_weight dynamics_params model_template delay
100 ei_type=='e' ei_type=='e' "[30.0, 150.0]" "['somatic', 'basal', 'apical']" 0.015 AMPA_ExcToExc.json Exp2Syn 2.0
101 ei_type=='i' ei_type=='e' "[30.0, 150.0]" "['somatic', 'basal']" 0.015 AMPA_ExcToInh.json Exp2Syn 2.0
102 ei_type=='e' ei_type=='i' "[0.0, 50.0]" "['somatic', 'basal', 'apical']" 0.085 GABA_InhToExc.json Exp2Syn 2.0
103 ei_type=='i' ei_type=='i' "[0.0, 1e+20]" "['somatic', 'basal']" 0.085 GABA_InhToInh.json Exp2Syn 2.0
