node_type_id ei_type morphology model_processing model_type dynamics_params model_template rotation_angle_xaxis model_name rotation_angle_zaxis
100 e Scnn1a_485510712_morphology.swc aibs_perisomatic biophysical Scnn1a_485510712_params.json ctdb:Biophys1.hoc 0 Scnn1a 3.646878266
101 e Rorb_486509958_morphology.swc aibs_perisomatic biophysical Rorb_486509958_params.json ctdb:Biophys1.hoc 0 Rorb 4.159763785
102 e Nr5a1_485507735_morphology.swc aibs_perisomatic biophysical Nr5a1_485507735_params.json ctdb:Biophys1.hoc 0 Nr5a1 4.159763785
103 i Pvalb_473862421_morphology.swc aibs_perisomatic biophysical Pvalb_473862421_params.json ctdb:Biophys1.hoc 0 PValb 2.539551891
