edge_type_id target_query source_query syn_weight dynamics_params model_template delay
104 * ei_type=='e' 0.015 instantaneousExc.json Exp2Syn 2.0
105 * ei_type=='i' 0.05 instantaneousInh.json Exp2Syn 2.0
