edge_type_id target_query source_query syn_weight dynamics_params model_template delay
100 ei_type=='e' ei_type=='e' 3e-05 AMPA_ExcToExc.json Exp2Syn 2.0
101 ei_type=='i' ei_type=='e' 0.0006 AMPA_ExcToInh.json Exp2Syn 2.0
102 ei_type=='e' ei_type=='i' 0.07 GABA_InhToExc.json Exp2Syn 2.0
103 ei_type=='i' ei_type=='i' 0.00015 GABA_InhToInh.json Exp2Syn 2.0
