edge_type_id target_query source_query delay dynamics_params syn_weight
100 ei_type=='e' ei_type=='e' 0.002 dipde_ExcToInh.json 0.01
101 ei_type=='i' ei_type=='e' 0.002 dipde_ExcToInh.json 0.005
102 ei_type=='e' ei_type=='i' 0.002 dipde_InhToExc.json -0.002
