edge_type_id target_query source_query dynamics_params syn_weight model_template delay
100 ei_type=='e' * static_ExcToExc.json 11.0 static_synapse 2.0
101 ei_type=='i' * static_ExcToInh.json 13.0 static_synapse 2.0
