edge_type_id target_query source_query dynamics_params model_template delay syn_weight
100 cell_line=='e5Rbp4' * e2e.json static_synapse 1.0 0.192834123607
101 cell_line=='e23Cux2' * e2e.json static_synapse 1.0 0.209297861215
102 cell_line=='e4Scnn1a' * e2e.json static_synapse 1.0 6.1385101933500006e-12
103 cell_line=='i6Htr3a' * e2i.json static_synapse 1.0 0.2193724236059999
104 cell_line=='e4other' * e2e.json static_synapse 1.0 7.770458218580002e-19
105 cell_line=='i4Sst' * e2i.json static_synapse 1.0 0.304771075832
106 cell_line=='e4Nr5a1' * e2e.json static_synapse 1.0 3.0315397032600004e-15
107 cell_line=='i5Sst' * e2i.json static_synapse 1.0 0.219652260516
108 cell_line=='i4Pvalb' * e2i.json static_synapse 1.0 9.351412624069999e-27
109 cell_line=='i6Sst' * e2i.json static_synapse 1.0 0.315562589751
110 cell_line=='i6Pvalb' * e2i.json static_synapse 1.0 2.39334308765e-21
111 cell_line=='i23Pvalb' * e2i.json static_synapse 1.0 0.206360632416
112 cell_line=='i23Htr3a' * e2i.json static_synapse 1.0 0.308672915966
113 cell_line=='e4Rorb' * e2e.json static_synapse 1.0 5.4542495463299995e-09
114 cell_line=='i5Htr3a' * e2i.json static_synapse 1.0 0.0016418958533900001
115 cell_line=='i5Pvalb' * e2i.json static_synapse 1.0 3.26952542255e-19
116 cell_line=='i23Sst' * e2i.json static_synapse 1.0 0.48328082854500004
117 cell_line=='i4Htr3a' * e2i.json static_synapse 1.0 0.13221070057700002
118 cell_line=='e6Ntsr1' * e2e.json static_synapse 1.0 0.436803582171
119 cell_line=='i1Htr3a' * e2i.json static_synapse 1.0 0.6683522715720001
120 cell_line=='e5noRbp4' * e2e.json static_synapse 1.0 0.138316896552
