edge_type_id target_query source_query dynamics_params model_template syn_weight delay
100 model_name=='Sst_501282204' * i2e.json static_synapse 0.0 1.7
101 model_name=='Rorb_314642645' * e2e.json static_synapse 0.518666852825 1.7
102 model_name=='Scnn1a_517982558' * e2e.json static_synapse 0.5173743580285 1.7
103 model_name=='Htr3a_474626527' * i2e.json static_synapse 0.0 1.7
104 model_name=='other_483018019' * e2e.json static_synapse 0.5152488843942 1.7
105 model_name=='Pvalb_478958894' * i2e.json static_synapse 1.7916764292750003 1.7
