edge_type_id target_query source_query dynamics_params delay weight_function syn_weight model_template weight_sigma
100 cell_line=='i4Sst' cell_line=='i4Sst' i2i.json 1.5 DirectionRule_others -0.5497964249580001 static_synapse 50.0
101 cell_line=='e4Rorb' cell_line=='i4Sst' i2e.json 1.5 DirectionRule_others -0.25894452030000004 static_synapse 90
102 cell_line=='e4Scnn1a' cell_line=='i4Sst' i2e.json 1.5 DirectionRule_others -0.68765067873 static_synapse 90
103 cell_line=='i4Htr3a' cell_line=='i4Sst' i2i.json 1.5 DirectionRule_others -0.578256186357 static_synapse 50.0
104 cell_line=='e4other' cell_line=='i4Sst' i2e.json 1.5 DirectionRule_others -0.273482781802 static_synapse 90
105 cell_line=='i4Pvalb' cell_line=='i4Sst' i2i.json 1.5 DirectionRule_others -1.12014598694 static_synapse 50.0
106 cell_line=='i4Sst' cell_line=='e4Rorb' e2i.json 1.5 DirectionRule_others 3.38812046881 static_synapse 90
107 cell_line=='e4Rorb' cell_line=='e4Rorb' e2e.json 1.3 DirectionRule_EE 5.1541323876 static_synapse 30.0
108 cell_line=='e4Scnn1a' cell_line=='e4Rorb' e2e.json 1.3 DirectionRule_EE 13.687266409400001 static_synapse 30.0
109 cell_line=='i4Htr3a' cell_line=='e4Rorb' e2i.json 1.5 DirectionRule_others 1.02793377359 static_synapse 90
110 cell_line=='e4other' cell_line=='e4Rorb' e2e.json 1.3 DirectionRule_EE 5.443507595780001 static_synapse 30.0
111 cell_line=='i4Pvalb' cell_line=='e4Rorb' e2i.json 1.2 DirectionRule_others 5.23808267141 static_synapse 90
112 cell_line=='i4Sst' cell_line=='e4Scnn1a' e2i.json 1.5 DirectionRule_others 3.38812046881 static_synapse 90
113 cell_line=='e4Rorb' cell_line=='e4Scnn1a' e2e.json 1.3 DirectionRule_EE 5.1541323876 static_synapse 30.0
114 cell_line=='e4Scnn1a' cell_line=='e4Scnn1a' e2e.json 1.3 DirectionRule_EE 13.687266409400001 static_synapse 30.0
115 cell_line=='i4Htr3a' cell_line=='e4Scnn1a' e2i.json 1.5 DirectionRule_others 1.02793377359 static_synapse 90
116 cell_line=='e4other' cell_line=='e4Scnn1a' e2e.json 1.3 DirectionRule_EE 5.443507595780001 static_synapse 30.0
117 cell_line=='i4Pvalb' cell_line=='e4Scnn1a' e2i.json 1.2 DirectionRule_others 5.23808267141 static_synapse 90
118 cell_line=='i4Sst' cell_line=='i4Htr3a' i2i.json 1.5 DirectionRule_others -1.17289903991 static_synapse 50.0
119 cell_line=='e4Rorb' cell_line=='i4Htr3a' i2e.json 1.5 DirectionRule_others -0.25894452030000004 static_synapse 90
120 cell_line=='e4Scnn1a' cell_line=='i4Htr3a' i2e.json 1.5 DirectionRule_others -0.68765067873 static_synapse 90
121 cell_line=='i4Htr3a' cell_line=='i4Htr3a' i2i.json 1.5 DirectionRule_others -0.411451517215 static_synapse 50.0
122 cell_line=='e4other' cell_line=='i4Htr3a' i2e.json 1.5 DirectionRule_others -0.273482781802 static_synapse 90
123 cell_line=='i4Pvalb' cell_line=='i4Htr3a' i2i.json 1.5 DirectionRule_others -0.4032525552970001 static_synapse 50.0
124 cell_line=='i4Sst' cell_line=='e4other' e2i.json 1.5 DirectionRule_others 3.38812046881 static_synapse 90
125 cell_line=='e4Rorb' cell_line=='e4other' e2e.json 1.3 DirectionRule_EE 5.1541323876 static_synapse 30.0
126 cell_line=='e4Scnn1a' cell_line=='e4other' e2e.json 1.3 DirectionRule_EE 13.687266409400001 static_synapse 30.0
127 cell_line=='i4Htr3a' cell_line=='e4other' e2i.json 1.5 DirectionRule_others 1.02793377359 static_synapse 90
128 cell_line=='e4other' cell_line=='e4other' e2e.json 1.3 DirectionRule_EE 5.443507595780001 static_synapse 30.0
129 cell_line=='i4Pvalb' cell_line=='e4other' e2i.json 1.2 DirectionRule_others 5.23808267141 static_synapse 90
130 cell_line=='i4Sst' cell_line=='i4Pvalb' i2i.json 1.2 DirectionRule_others -1.53942998989 static_synapse 50.0
131 cell_line=='e4Rorb' cell_line=='i4Pvalb' i2e.json 0.9 DirectionRule_others -0.57146376894 static_synapse 90
132 cell_line=='e4Scnn1a' cell_line=='i4Pvalb' i2e.json 0.9 DirectionRule_others -1.51757391167 static_synapse 90
133 cell_line=='i4Htr3a' cell_line=='i4Pvalb' i2i.json 1.2 DirectionRule_others -0.45593276232 static_synapse 50.0
134 cell_line=='e4other' cell_line=='i4Pvalb' i2e.json 0.9 DirectionRule_others -0.603548208115 static_synapse 90
135 cell_line=='i4Pvalb' cell_line=='i4Pvalb' i2i.json 1.6 DirectionRule_others -1.5233985422299998 static_synapse 50.0
