edge_type_id target_query source_query delay dynamics_params model_template syn_weight
100 model_name=='Sst_501282204' * 1.7 i2e.json static_synapse 0.0
101 model_name=='Rorb_314642645' * 1.7 e2e.json static_synapse 0.518666852825
102 model_name=='Scnn1a_517982558' * 1.7 e2e.json static_synapse 0.5173743580285
103 model_name=='Htr3a_474626527' * 1.7 i2e.json static_synapse 0.0
104 model_name=='other_483018019' * 1.7 e2e.json static_synapse 0.5152488843942
105 model_name=='Pvalb_478958894' * 1.7 i2e.json static_synapse 1.7916764292750003
