edge_type_id target_query source_query syn_weight delay model_template dynamics_params
100 ei_type=='e' * 11.0 2.0 static_synapse static_ExcToExc.json
101 ei_type=='i' * 13.0 2.0 static_synapse static_ExcToInh.json
